cue,tar,corrAns,targOrientation,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,pracText1.started,pracText1.stopped,practInst2.started,practInst2.stopped,fixFuration,image.started,image.stopped,cues.started,cues.stopped,target.started,target.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixationshort.started,fixationshort.stopped,text.started,text.stopped,mainInst.started,mainInst.stopped,instResp.keys,instResp.rt,instResp.started,instResp.stopped,rest.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stim/both.png,stim/congRight.png,left,180,0,0,0,13,,,,,,,,,20.252689499990083,None,21.59524739999324,None,0.45,22.725221999979112,None,23.195374300004914,23.309629800001858,23.676138999988325,None,left,1,1.3663239000015892,23.676138999988325,None,23.195374300004914,23.70918919998803,25.109498399979202,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/blank.png,stim/congLeft.png,left,0,0,1,1,3,,,,,,,,,,,,,0.55,26.12374599999748,None,26.673057599982712,26.773433499998646,27.156772899994394,None,None,0,,27.156772899994394,None,26.673057599982712,27.17316770000616,28.883116799988784,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/centre.png,stim/congRight.png,right,0,0,2,2,10,,,,,,,,,,,,,0.45,29.887615599989658,None,30.35408109999844,30.453600599983474,30.853459899983136,None,right,1,0.537048500002129,30.853459899983136,None,30.35408109999844,30.853459899983136,31.432319299987284,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/both.png,stim/incongLeft.png,left,0,0,3,3,17,,,,,,,,,,,,,0.5,32.43512720000581,None,32.94373999998788,33.05188220000127,33.434892099990975,None,None,0,,33.434892099990975,None,32.94373999998788,33.4514561999822,35.158697999984724,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/upper.png,stim/incongLeft.png,left,0,0,4,4,16,,,,,,,,,,,,,0.55,36.14898679999169,None,36.71614330000011,36.81520169999567,37.21441539999796,None,left,1,0.6961585999815725,37.21441539999796,None,36.71614330000011,37.23077039999771,37.945160200004466,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/centre.png,stim/congLeft.png,left,0,0,5,5,2,,,,,,,,,,,,,0.4,38.9469328999985,None,39.35087150000618,39.46292319998611,39.846229099988705,None,left,1,0.66444659998524,39.846229099988705,None,39.35087150000618,39.86280929998611,40.55510649998905,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/blank.png,stim/congRight.png,left,180,0,6,6,15,,,,,,,,,,,,,0.4,41.561108399997465,None,41.96714369999245,42.07695019998937,42.460716300003696,None,right,0,0.7067321000213269,42.460716300003696,None,41.96714369999245,42.47700459999032,43.23122089999379,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/blank.png,stim/incongLeft.png,left,0,0,7,7,19,,,,,,,,,,,,,0.5,44.24256329998025,None,44.746732300001895,44.858592899981886,45.241852299979655,None,left,1,0.8243967999878805,45.241852299979655,None,44.746732300001895,45.258318499982124,46.12049430000479,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/blank.png,stim/incongLeft.png,right,180,0,8,8,23,,,,,,,,,,,,,0.5,47.12315989998751,None,47.627424999984214,47.73960839997744,48.122930299985455,None,right,1,1.2423309000150766,48.122930299985455,None,47.627424999984214,48.139265499979956,49.403964500001166,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/centre.png,stim/incongLeft.png,right,180,0,9,9,22,,,,,,,,,,,,,0.4,50.403742099995725,None,50.806523299979744,50.91993360000197,51.3034869999974,None,right,1,0.7833740999922156,51.3034869999974,None,50.806523299979744,51.320074999995995,52.12025499998708,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/both.png,stim/congLeft.png,right,180,0,10,10,5,,,,,,,,,,,,,0.55,53.135190000000875,None,53.68966649999493,53.800614199979464,54.18447969999397,None,right,1,0.5547511000186205,54.18447969999397,None,53.68966649999493,54.20094369997969,54.782395699992776,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/blank.png,stim/congLeft.png,right,180,0,11,11,7,,,,,,,,,,,,,0.4,55.78320619999431,None,56.19934729998931,56.29896769998595,56.682386000000406,None,right,1,0.5905535999918357,56.682386000000406,None,56.19934729998931,56.69866890000412,57.30666459997883,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/centre.png,stim/congRight.png,left,180,0,12,12,14,,,,,,,,,,,,,0.45,58.31406999999308,None,58.7684031999961,58.88047340000048,59.26373720000265,None,left,1,0.5230264999845531,59.26373720000265,None,58.7684031999961,59.279919199994765,59.829075699992245,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/blank.png,stim/congRight.png,right,0,0,13,13,11,,,,,,,,,,,,,0.5,60.828206399979535,None,61.33295690000523,61.444585799996275,61.82835349999368,None,left,0,0.6301418999792077,61.82835349999368,None,61.33295690000523,61.844603799981996,62.49150659999577,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/lower.png,stim/congLeft.png,right,180,0,14,14,4,,,,,,,,,,,,,0.5,63.49311099998886,None,64.01641319997725,64.1261816000042,64.50909289999981,None,right,1,0.6475167000025976,64.50909289999981,None,64.01641319997725,64.52589249997982,65.19400829999358,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/lower.png,stim/incongLeft.png,right,180,0,15,15,20,,,,,,,,,,,,,0.5,66.20782989999861,None,66.71758169998066,66.823187699978,67.2072152000037,None,right,1,0.6308968999946956,67.2072152000037,None,66.71758169998066,67.22331319999648,67.87165580000146,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/both.png,stim/incongLeft.png,right,180,0,16,16,21,,,,,,,,,,,,,0.55,68.87223099998664,None,69.42745439999271,69.53837809999823,69.92154999999912,None,right,1,0.8114263000024948,69.92154999999912,None,69.42745439999271,69.93777540000156,70.76968719999422,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/both.png,stim/congLeft.png,left,0,0,17,17,1,,,,,,,,,,,,,0.5,71.76990399998613,None,72.27587809998658,72.38607259999844,72.76892269999371,None,left,1,0.5211420000123326,72.76892269999371,None,72.27587809998658,72.78570330000366,73.331953099987,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/centre.png,stim/congLeft.png,right,180,0,18,18,6,,,,,,,,,,,,,0.4,74.33437719999347,None,74.73757139997906,74.85028099999181,75.23359659998096,None,right,1,0.6481587000016589,75.23359659998096,None,74.73757139997906,75.25036119998549,75.91678349999711,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/centre.png,stim/incongLeft.png,left,0,0,19,19,18,,,,,,,,,,,,,0.5,76.93197639999562,None,77.4401641000004,77.54806559998542,77.93163710000226,None,left,1,0.6826331999909598,77.93163710000226,None,77.4401641000004,77.94788259998313,78.6375357999932,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/both.png,stim/congRight.png,right,0,0,20,20,9,,,,,,,,,,,,,0.4,79.64632400000119,None,80.04927580000367,80.16291499999352,80.54617950000102,None,right,1,0.6471387000055984,80.54617950000102,None,80.04927580000367,80.56270249999943,81.2355728999828,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/upper.png,stim/congRight.png,right,0,0,21,21,8,,,,,,,,,,,,,0.4,82.24396199997864,None,82.64829909999389,82.76084539998556,83.14400719999685,None,right,1,0.5710826000140514,83.14400719999685,None,82.64829909999389,83.16050379999797,83.75881850000587,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/lower.png,stim/congRight.png,left,180,0,22,22,12,,,,,,,,,,,,,0.45,84.75882119999733,None,85.21359739999752,85.3253252999857,85.70816429998376,None,left,1,0.7007397999987006,85.70816429998376,None,85.21359739999752,85.72464659999241,86.43999449998955,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
stim/upper.png,stim/congLeft.png,left,0,0,23,23,0,,,,,,,,,,,,,0.45,87.44033779998426,None,87.89458849999937,88.00624859999516,88.38968279998517,None,left,1,0.6372973999823444,88.38968279998517,None,87.89458849999937,88.40607100000489,89.07065989999683,None,,,,,,,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.07166779998806,None,space,141.4790520000097,90.07166779998806,None,,,0,001,2020_Jun_30_1049,ANT,2020.1.3,60.015039764711865,
