cue,tar,corrAns,targOrientation,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,pracText1.started,pracText1.stopped,practInst2.started,practInst2.stopped,fixFuration,image.started,image.stopped,cues.started,cues.stopped,target.started,target.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixationshort.started,fixationshort.stopped,text.started,text.stopped,mainInst.started,mainInst.stopped,instResp.keys,instResp.rt,instResp.started,instResp.stopped,rest.started,rest.stopped,endText.started,endText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stim/upper.png,stim/incongLeft.png,left,0,0,0,0,16,,,,,,,,,13.977824300003704,None,18.57478500000434,None,0.5,19.370301099988865,None,19.89652720000595,20.005564699997194,20.38912690000143,None,left,1,0.6222951000090688,20.38912690000143,None,19.89652720000595,20.40549770000507,21.07217309999396,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
stim/centre.png,stim/incongLeft.png,right,180,0,1,1,22,,,,,,,,,,,,,0.5,22.087397900002543,None,22.589956999989226,22.703363800013904,23.086195799987763,None,right,1,0.7794979000173043,23.086195799987763,None,22.589956999989226,23.102711699990323,23.906934400001774,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
stim/centre.png,stim/congRight.png,left,180,0,2,2,14,,,,,,,,,,,,,0.55,24.918303699989337,None,25.472758999996586,25.58454619999975,25.967706700001145,None,left,1,0.5319374999962747,25.967706700001145,None,25.472758999996586,25.984113999991678,26.539225100015756,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
stim/both.png,stim/incongLeft.png,right,180,0,3,3,21,,,,,,,,,,,,,0.4,27.549690200015903,None,27.95215329999337,28.065685500012478,28.448918900015997,None,right,1,0.5467228000052273,28.448918900015997,None,27.95215329999337,28.465778000012506,29.01676190001308,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
stim/lower.png,stim/incongLeft.png,right,180,0,4,4,20,,,,,,,,,,,,,0.55,30.03105140000116,None,30.585132000007434,30.696989099989878,31.080330299999332,None,right,1,0.6026580999896396,31.080330299999332,None,30.585132000007434,31.096813700016355,31.734627500001807,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
stim/both.png,stim/congLeft.png,right,180,0,5,5,5,,,,,,,,,,,,,0.5,32.74525460001314,None,33.249038900015876,33.36157529999036,33.74411410000175,None,right,1,0.6427967000054196,33.74411410000175,None,33.249038900015876,33.76055219999398,34.43162449999363,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
stim/both.png,stim/congLeft.png,left,0,0,6,6,1,,,,,,,,,,,,,0.4,35.44327320001321,None,35.84723069999018,35.95932739999262,36.342668800003594,None,left,1,0.538277100014966,36.342668800003594,None,35.84723069999018,36.35889440000756,36.923783900012495,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
stim/blank.png,stim/incongLeft.png,left,0,0,7,7,19,,,,,,,,,,,,,0.55,37.92430630000308,None,38.47616729998845,38.590491700015264,38.97385380000924,None,right,0,0.5757980000053067,38.97385380000924,None,38.47616729998845,38.990300000004936,39.585496000014246,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
stim/upper.png,stim/congRight.png,right,0,0,8,8,8,,,,,,,,,,,,,0.5,40.589035400014836,None,41.091830599994864,41.20488810000825,41.58843740000157,None,right,1,0.5715161999978591,41.58843740000157,None,41.091830599994864,41.60494789999211,42.203942299995106,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
stim/blank.png,stim/congLeft.png,right,180,0,9,9,7,,,,,,,,,,,,,0.45,43.219285500003025,None,43.67359620000934,43.78601979999803,44.16927509999368,None,left,0,0.5477364999824204,44.16927509999368,None,43.67359620000934,44.18565239998861,44.74757330000284,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
stim/centre.png,stim/congLeft.png,right,180,0,10,10,6,,,,,,,,,,,,,0.45,45.75146810000297,None,46.206907999992836,46.31756830000086,46.70020600000862,None,right,1,0.546887299977243,46.70020600000862,None,46.206907999992836,46.71660859999247,47.281589799997164,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
stim/blank.png,stim/congLeft.png,left,0,0,11,11,3,,,,,,,,,,,,,0.55,48.28281070000958,None,48.8363393000036,48.94867300000624,49.3320015000063,None,left,1,0.5648499000235461,49.3320015000063,None,48.8363393000036,49.34854939999059,49.928675900009694,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
stim/centre.png,stim/congRight.png,right,0,0,12,12,10,,,,,,,,,,,,,0.45,50.930191199993715,None,51.385222500015516,51.49621440001647,51.88010919999215,None,right,1,0.5634572000126354,51.88010919999215,None,51.385222500015516,51.89641700001084,52.46260520000942,None,,,,,,,,,,,0,001,2020_Jun_30_1059,ANT,2020.1.3,60.075719432858385,
